Label,StartPoint,EndPoint,Size,log_2,
.L24,8190,8379,189,8,
.LPIC18,8379,8467,88,7,
.L23,8467,8592,125,7,
.LPIC19,8592,8694,102,7,
.L22,8694,8870,176,8,
.L21,8870,9060,190,8,
.L20,9060,9251,191,8,
.L19,9251,9420,169,8,
.L18,9420,9540,120,7,
.LPIC20,9540,9626,86,7,
.L29,9626,9773,147,8,
.LPIC21,9773,9875,102,7,
.L28,9875,10038,163,8,
.L31,10038,10173,135,8,
.LPIC22,10173,10275,102,7,
.L30,10275,10372,97,7,
.LPIC23,10372,10471,99,7,
.L33,10471,10640,169,8,
.LPIC24,10640,10777,137,8,
.L32,10777,10896,119,7,
.LPIC25,10896,10995,99,7,
.L35,10995,11164,169,8,
.LPIC26,11164,11301,137,8,
.L34,11301,11544,243,8,
.L37,11544,11612,68,7,
.L39,11612,11628,16,4,
.L38,11628,11634,1234,11,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,294,293,9,
.LC0,294,300,6,3,
	.ascii	"Usage,300,368,68,7,
.LC1,368,434,66,7,
.LC2,434,479,45,6,
.LC3,479,511,32,5,
.LC4,511,641,130,8,
main,641,915,274,9,
.LPIC0,915,1285,370,9,
.LPIC1,1285,1358,73,7,
.L2,1358,1636,278,9,
.L3,1636,1692,56,6,
.L4,1692,1970,278,9,
.L6,1970,2026,56,6,
.L7,2026,2048,22,5,
.LPIC2,2048,2121,73,7,
.L5,2121,2250,129,8,
.L13,2250,2902,652,10,
.L9,2902,3315,413,9,
.L11,3315,3338,23,5,
.LPIC3,3338,3411,73,7,
.L10,3411,3830,419,9,
.L8,3830,4011,181,8,
.L12,4011,4255,244,8,
.LPIC4,4255,4328,73,7,
.L14,4328,4466,138,8,
.LPIC5,4466,4627,161,8,
.LPIC6,4627,4700,73,7,
.L15,4700,4839,139,8,
.LPIC7,4839,5000,161,8,
.LPIC8,5000,5073,73,7,
.L16,5073,5148,75,7,
.L20,5148,5432,284,9,
.L18,5432,5606,174,8,
.L19,5606,6038,432,9,
.L22,6038,6382,344,9,
.L21,6382,6568,186,8,
.L17,6568,6826,258,9,
.L26,6826,6842,16,4,
.L25,6842,6848,280,9,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,299,298,9,
.LC0,299,305,6,3,
	.ascii	"Usage,305,361,56,6,
.LC1,361,427,66,7,
.LC2,427,433,6,3,
	.ascii	"%-38s> Time,433,496,63,6,
.LC3,496,545,49,6,
.LC4,545,688,143,8,
main,688,876,188,8,
.LPIC0,876,1138,262,9,
.LPIC1,1138,1201,63,6,
.L2,1201,1313,112,7,
.LPIC2,1313,1398,85,7,
.L10,1398,1548,150,8,
.L5,1548,1570,22,5,
.LPIC3,1570,1851,281,9,
.L4,1851,2282,431,9,
.L6,2282,2461,179,8,
.L8,2461,2483,22,5,
.LPIC4,2483,2630,147,8,
.LPIC5,2630,2721,91,7,
.L3,2721,2784,63,6,
.LPIC6,2784,2890,106,7,
.LPIC7,2890,2955,65,7,
.LPIC8,2955,3061,106,7,
.LPIC9,3061,3195,134,8,
.L15,3195,3211,16,4,
.L14,3211,3651,440,9,
bit_shifter,3651,3919,268,9,
.L19,3919,4119,200,8,
.L17,4119,4206,87,7,
.L18,4206,4451,245,8,
pBitCntFunc.7377,4451,4637,186,8,
.LC5,4637,4696,59,6,
.LC6,4696,4752,56,6,
.LC7,4752,4813,61,6,
.LC8,4813,4878,65,7,
.LC9,4878,4946,68,7,
.LC10,4946,5015,69,7,
.LC11,5015,5155,140,8,
text.7378,5155,5166,97,7,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,294,293,9,
.LC0,294,300,6,3,
	.ascii	"Usage,300,368,68,7,
.LC1,368,434,66,7,
.LC2,434,479,45,6,
.LC3,479,511,32,5,
.LC4,511,641,130,8,
main,641,915,274,9,
.LPIC0,915,1285,370,9,
.LPIC1,1285,1358,73,7,
.L2,1358,1636,278,9,
.L3,1636,1692,56,6,
.L4,1692,1970,278,9,
.L6,1970,2026,56,6,
.L7,2026,2048,22,5,
.LPIC2,2048,2121,73,7,
.L5,2121,2250,129,8,
.L13,2250,2902,652,10,
.L9,2902,3315,413,9,
.L11,3315,3338,23,5,
.LPIC3,3338,3411,73,7,
.L10,3411,3830,419,9,
.L8,3830,4011,181,8,
.L12,4011,4255,244,8,
.LPIC4,4255,4328,73,7,
.L14,4328,4466,138,8,
.LPIC5,4466,4627,161,8,
.LPIC6,4627,4700,73,7,
.L15,4700,4839,139,8,
.LPIC7,4839,5000,161,8,
.LPIC8,5000,5073,73,7,
.L16,5073,5148,75,7,
.L20,5148,5432,284,9,
.L18,5432,5606,174,8,
.L19,5606,6038,432,9,
.L22,6038,6382,344,9,
.L21,6382,6568,186,8,
.L17,6568,6826,258,9,
.L26,6826,6842,16,4,
.L25,6842,6848,280,9,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,338,337,9,
crc_32_tab,338,5070,4732,13,
updateCRC32,5070,5382,312,9,
.LPIC0,5382,5556,174,8,
.L4,5556,5571,15,4,
.L3,5571,5667,96,7,
.LC0,5667,5807,140,8,
crc32file,5807,6087,280,9,
.LPIC1,6087,6241,154,8,
.L9,6241,6386,145,8,
.LPIC2,6386,6465,79,7,
.L8,6465,6676,211,8,
.L10,6676,6768,92,7,
.L7,6768,6854,86,7,
.L12,6854,6870,16,4,
.L11,6870,7067,197,8,
crc32buf,7067,7292,225,8,
.L15,7292,7394,102,7,
.LPIC3,7394,7571,177,8,
.L14,7571,7701,130,8,
.L18,7701,7717,16,4,
.L17,7717,7808,91,7,
.LC1,7808,7954,146,8,
main,7954,8144,190,8,
.LPIC4,8144,8252,108,7,
.L21,8252,8507,255,8,
.LPIC5,8507,8543,36,6,
.L20,8543,8830,287,9,
.L23,8830,8901,71,7,
.L25,8901,8917,16,4,
.L24,8917,8923,119,7,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,347,346,9,
qHead,347,461,114,7,
g_qCount,461,626,165,8,
.LC0,626,770,144,8,
print_path,770,960,190,8,
.LPIC1,960,1233,273,9,
.L2,1233,1267,34,6,
.LPIC0,1267,1456,189,8,
.L4,1456,1471,15,4,
.L3,1471,1618,147,8,
.LC1,1618,1771,153,8,
enqueue,1771,1983,212,8,
.LPIC3,1983,2080,97,7,
.LPIC2,2080,2265,185,8,
.LPIC4,2265,2328,63,6,
.L6,2328,2603,275,9,
.LPIC5,2603,2675,72,7,
.L10,2675,2738,63,6,
.L9,2738,2860,122,7,
.L8,2860,2882,22,5,
.LPIC6,2882,2950,68,7,
.LPIC7,2950,3050,100,7,
.L12,3050,3066,16,4,
.L11,3066,3389,323,9,
dequeue,3389,3597,208,8,
.LPIC8,3597,3666,69,7,
.LPIC9,3666,3738,72,7,
.LPIC10,3738,3837,99,7,
.LPIC11,3837,3939,102,7,
.LPIC12,3939,4041,102,7,
.LPIC13,4041,4112,71,7,
.LPIC14,4112,4197,85,7,
.LPIC15,4197,4266,69,7,
.LPIC16,4266,4301,35,6,
.L15,4301,4369,68,7,
.L17,4369,4385,16,4,
.L16,4385,4751,366,9,
qcount,4751,4915,164,8,
.LPIC17,4915,5012,97,7,
.L21,5012,5028,16,4,
.L20,5028,5114,86,7,
.LC2,5114,5208,94,7,
.LC3,5208,5268,60,6,
.LC4,5268,5274,6,3,
	.ascii	"Path is,5274,5414,140,8,
dijkstra,5414,5603,189,8,
.LPIC18,5603,5705,102,7,
.L24,5705,6109,404,9,
.L23,6109,6257,148,8,
.LPIC19,6257,6312,55,6,
.L25,6312,6624,312,9,
.L32,6624,6870,246,8,
.L31,6870,7622,752,10,
.L30,7622,8276,654,10,
.L29,8276,8397,121,7,
.L28,8397,8475,78,7,
.L27,8475,8646,171,8,
.LPIC20,8646,8712,66,7,
.LPIC21,8712,8872,160,8,
.L26,8872,8956,84,7,
.L34,8956,8972,16,4,
.L33,8972,9291,319,9,
.LC5,9291,9297,6,3,
	.ascii	"Usage,9297,9352,55,6,
.LC6,9352,9426,74,7,
.LC7,9426,9458,32,5,
.LC8,9458,9589,131,8,
main,9589,9775,186,8,
.LPIC22,9775,9995,220,8,
.LPIC23,9995,10124,129,8,
.LPIC24,10124,10161,37,6,
.L36,10161,10229,68,7,
.LPIC25,10229,10348,119,7,
.L40,10348,10394,46,6,
.L39,10394,10446,52,6,
.LPIC26,10446,10755,309,9,
.L38,10755,10858,103,7,
.L37,10858,10979,121,7,
.L42,10979,11344,365,9,
.L41,11344,11419,75,7,
.L45,11419,11435,16,4,
.L44,11435,11441,234,8,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,388,387,9,
IsPowerOfTwo,388,638,250,8,
.L2,638,754,116,7,
.L4,754,772,18,5,
.L3,772,921,149,8,
.LC0,921,927,6,3,
	.ascii	">>> Error in fftmisc.c,927,1164,237,8,
NumberOfBitsNeeded,1164,1346,182,8,
.LPIC0,1346,1487,141,8,
.LPIC1,1487,1563,76,7,
.L6,1563,1600,37,6,
.L9,1600,1748,148,8,
.L7,1748,1815,67,7,
.L10,1815,1890,75,7,
.L12,1890,1906,16,4,
.L11,1906,2157,251,8,
ReverseBits,2157,2439,282,9,
.L15,2439,2657,218,8,
.L14,2657,2979,322,9,
Index_to_frequency,2979,3270,291,9,
.L18,3270,3492,222,8,
.L20,3492,3687,195,8,
.L19,3687,3778,91,7,
.L22,3778,3794,16,4,
.L21,3794,3800,72,7,
end,end,end,end,


LineNum,inLabel,command,JumpToLabel,jumpToAd,start_row_counter,
Label,StartPoint,EndPoint,Size,log_2,
empty,1,490,489,9,
.LC0,490,496,6,3,
	.ascii	"Warning,496,721,225,8,
lame_init_params,721,909,188,8,
.LPIC2,909,974,65,7,
.LPIC0,974,1067,93,7,
.LPIC1,1067,1302,235,8,
.L2,1302,1467,165,8,
.L3,1467,1739,272,9,
.L5,1739,1880,141,8,
.L7,1880,2007,127,7,
.L8,2007,2148,141,8,
.L9,2148,2290,142,8,
.L10,2290,2349,59,6,
.L6,2349,3346,997,10,
.L12,3346,3489,143,8,
.L13,3489,3632,143,8,
.L14,3632,3761,129,8,
.L15,3761,3904,143,8,
.L16,3904,3964,60,6,
.L4,3964,4066,102,7,
.L130,4066,4083,17,5,
.L129,4083,4231,148,8,
.L17,4231,4250,19,5,
.L18,4250,4674,424,9,
.L19,4674,5068,394,9,
.L20,5068,5611,543,10,
.L21,5611,6279,668,10,
.L22,6279,6553,274,9,
.L24,6553,7375,822,10,
.L26,7375,8095,720,10,
.L28,8095,8367,272,9,
.L29,8367,8522,155,8,
.L124,8522,8575,53,6,
.L32,8575,8776,201,8,
.L125,8776,8829,53,6,
.L35,8829,8881,52,6,
.L27,8881,9755,874,10,
.L37,9755,10027,272,9,
.L40,10027,10182,155,8,
.L126,10182,10235,53,6,
.L43,10235,10436,201,8,
.L127,10436,10489,53,6,
.L46,10489,10541,52,6,
.L36,10541,10808,267,9,
.L132,10808,10825,17,5,
.L131,10825,10967,142,8,
.L56,10967,11471,504,9,
.L51,11471,12293,822,10,
.L53,12293,12354,61,6,
.L50,12354,12697,343,9,
.L57,12697,12915,218,8,
.L58,12915,13109,194,8,
.L48,13109,13558,449,9,
.LPIC3,13558,13594,36,6,
.L59,13594,13801,207,8,
.L69,13801,14305,504,9,
.L64,14305,15124,819,10,
.L66,15124,15185,61,6,
.L63,15185,15702,517,10,
.L70,15702,15920,218,8,
.L47,15920,16057,137,8,
.L71,16057,16076,19,5,
.L72,16076,16463,387,9,
.L73,16463,16839,376,9,
.L74,16839,17128,289,9,
.L77,17128,17245,117,7,
.L78,17245,17362,117,7,
.L79,17362,17486,124,7,
.L76,17486,17862,376,9,
.L81,17862,17986,124,7,
.L82,17986,18362,376,9,
.L134,18362,18379,17,5,
.L133,18379,18464,85,7,
.L75,18464,18648,184,8,
.L83,18648,18763,115,7,
.L84,18763,18878,115,7,
.L85,18878,19089,211,8,
.L86,19089,19250,161,8,
.L87,19250,19328,78,7,
.L88,19328,19443,115,7,
.L89,19443,19466,23,5,
.LPIC4,19466,19890,424,9,
.L90,19890,20005,115,7,
.L91,20005,20376,371,9,
.L92,20376,20491,115,7,
.L93,20491,20862,371,9,
.L94,20862,20977,115,7,
.L95,20977,21092,115,7,
.L96,21092,21463,371,9,
.L97,21463,21834,371,9,
.L98,21834,22232,398,9,
.L99,22232,22278,46,6,
.L101,22278,22704,426,9,
.L100,22704,22793,89,7,
.L103,22793,23305,512,9,
.L102,23305,23561,256,8,
.LPIC5,23561,23606,45,6,
.L128,23606,23679,73,7,
.L136,23679,23696,17,5,
.L135,23696,23886,190,8,
.LC1,23886,23998,112,7,
.LC2,23998,24004,6,3,
	.ascii	"Resampling,24004,24071,67,7,
.LC3,24071,24077,6,3,
	.ascii	"Using polyphase highpass filter, transition band,24077,24185,108,7,
.LC4,24185,24191,6,3,
	.ascii	"Using polyphase lowpass filter,  transition band,24191,24299,108,7,
.LC5,24299,24347,48,6,
.LC6,24347,24379,32,5,
.LC7,24379,24415,36,6,
.LC8,24415,24452,37,6,
.LC9,24452,24504,52,6,
.LC10,24504,24608,104,7,
.LC11,24608,24844,236,8,
lame_print_config,24844,25042,198,8,
.LPIC6,25042,25921,879,10,
.LPIC7,25921,25957,36,6,
.L138,25957,26285,328,9,
.LPIC8,26285,26322,37,6,
.L139,26322,26846,524,10,
.LPIC9,26846,26883,37,6,
.L140,26883,27407,524,10,
.LPIC10,27407,27445,38,6,
.L142,27445,27630,185,8,
.LPIC11,27630,27689,59,6,
.L144,27689,27802,113,7,
.LPIC12,27802,27945,143,8,
.L146,27945,27970,25,5,
.LPIC13,27970,28003,33,6,
.L147,28003,28066,63,6,
.LPIC14,28066,28209,143,8,
.L148,28209,28234,25,5,
.LPIC15,28234,28255,21,5,
.L149,28255,28292,37,6,
.LPIC16,28292,28663,371,9,
.LPIC17,28663,28905,242,8,
.LPIC18,28905,28964,59,6,
.L150,28964,29232,268,9,
.LPIC19,29232,29543,311,9,
.LPIC20,29543,29593,50,6,
.L145,29593,29752,159,8,
.L154,29752,29769,17,5,
.L153,29769,30311,542,10,
.LC12,30311,30349,38,6,
.LC13,30349,30498,149,8,
.LC14,30498,30692,194,8,
lame_encode_frame,30692,31193,501,9,
.LPIC21,31193,32477,1284,11,
.LPIC22,32477,32555,78,7,
.LPIC23,32555,32810,255,8,
.LPIC24,32810,33279,469,9,
.LPIC25,33279,33336,57,6,
.LPIC26,33336,33483,147,8,
.LPIC27,33483,33555,72,7,
.L157,33555,33580,25,5,
.LPIC28,33580,33654,74,7,
.LPIC29,33654,33792,138,8,
.LPIC30,33792,33963,171,8,
.L204,33963,34146,183,8,
.LPIC31,34146,34200,54,6,
.LPIC32,34200,34239,39,6,
.LPIC33,34239,34283,44,6,
.L156,34283,34412,129,8,
.L161,34412,34509,97,7,
.L162,34509,34606,97,7,
.L207,34606,34793,187,8,
.L164,34793,34980,187,8,
.L165,34980,35005,25,5,
.LPIC34,35005,35113,108,7,
.LPIC35,35113,35213,100,7,
.LPIC36,35213,35322,109,7,
.LPIC37,35322,35379,57,6,
.LPIC38,35379,35457,78,7,
.LPIC39,35457,35586,129,8,
.L208,35586,35692,106,7,
.LPIC40,35692,35793,101,7,
.LPIC41,35793,35872,79,7,
.LPIC42,35872,35911,39,6,
.L163,35911,36213,302,9,
.L169,36213,36234,21,5,
.L170,36234,36774,540,10,
.L168,36774,37013,239,8,
.LPIC43,37013,37170,157,8,
.L177,37170,37250,80,7,
.L210,37250,37267,17,5,
.L209,37267,38135,868,10,
.L174,38135,38622,487,9,
.L173,38622,38856,234,8,
.LPIC44,38856,38979,123,7,
.LPIC45,38979,39857,878,10,
.L176,39857,40025,168,8,
.LPIC46,40025,40405,380,9,
.L175,40405,40673,268,9,
.L172,40673,40831,158,8,
.L171,40831,40911,80,7,
.L182,40911,40991,80,7,
.L181,40991,41016,25,5,
.LPIC47,41016,41674,658,10,
.L180,41674,41942,268,9,
.L179,41942,42091,149,8,
.L178,42091,42171,80,7,
.L188,42171,42251,80,7,
.L187,42251,42511,260,9,
.LPIC48,42511,42847,336,9,
.L185,42847,42937,90,7,
.L186,42937,43063,126,7,
.L184,43063,43331,268,9,
.L183,43331,43692,361,9,
.LPIC49,43692,44032,340,9,
.LPIC50,44032,44090,58,6,
.LPIC51,44090,44172,82,7,
.LPIC52,44172,44231,59,6,
.LPIC53,44231,44317,86,7,
.L190,44317,44337,20,5,
.L191,44337,44395,58,6,
.L189,44395,44494,99,7,
.LPIC54,44494,44551,57,6,
.LPIC55,44551,44883,332,9,
.LPIC56,44883,44940,57,6,
.LPIC57,44940,45309,369,9,
.L192,45309,45487,178,8,
.L194,45487,45787,300,9,
.L195,45787,45971,184,8,
.L196,45971,46337,366,9,
.LPIC58,46337,46471,134,8,
.LPIC59,46471,46557,86,7,
.L197,46557,46833,276,9,
.LPIC60,46833,46967,134,8,
.LPIC61,46967,47040,73,7,
.L198,47040,47347,307,9,
.LPIC62,47347,47454,107,7,
.LPIC63,47454,47537,83,7,
.LPIC64,47537,47595,58,6,
.LPIC65,47595,47665,70,7,
.LPIC66,47665,47719,54,6,
.LPIC67,47719,47773,54,6,
.LPIC68,47773,47963,190,8,
.LPIC69,47963,48017,54,6,
.LPIC70,48017,48071,54,6,
.LPIC71,48071,48196,125,7,
.LPIC72,48196,48250,54,6,
.LPIC73,48250,48404,154,8,
.LPIC74,48404,48454,50,6,
.L199,48454,48480,26,5,
.LPIC75,48480,48534,54,6,
.LPIC76,48534,48604,70,7,
.LPIC77,48604,48730,126,7,
.LPIC78,48730,48960,230,8,
.LPIC79,48960,49045,85,7,
.L200,49045,49419,374,9,
.L202,49419,49519,100,7,
.L212,49519,49536,17,5,
.L211,49536,50918,1382,11,
fill_buffer_resample,50918,51271,353,9,
.LPIC80,51271,51391,120,7,
.LPIC81,51391,51501,110,7,
.LPIC82,51501,51694,193,8,
.LPIC83,51694,51786,92,7,
.L214,51786,51873,87,7,
.LPIC84,51873,51965,92,7,
.L215,51965,52403,438,9,
.L231,52403,52603,200,8,
.LPIC85,52603,52958,355,9,
.LPIC86,52958,53396,438,9,
.LPIC87,53396,53547,151,8,
.L219,53547,53636,89,7,
.L220,53636,53775,139,8,
.LPIC88,53775,53926,151,8,
.L221,53926,54032,106,7,
.L222,54032,54580,548,10,
.L223,54580,54878,298,9,
.LPIC89,54878,55029,151,8,
.L225,55029,55161,132,8,
.L226,55161,55300,139,8,
.LPIC90,55300,55451,151,8,
.L227,55451,55557,106,7,
.L228,55557,56921,1364,11,
.L229,56921,57093,172,8,
.L230,57093,57225,132,8,
.L224,57225,57287,62,6,
.L216,57287,57363,76,7,
.L237,57363,57380,17,5,
.L236,57380,57770,390,9,
.L235,57770,57782,12,4,
.L218,57782,57927,145,8,
.LPIC91,57927,58322,395,9,
.LPIC92,58322,58467,145,8,
.L233,58467,58666,199,8,
.LPIC93,58666,58909,243,8,
.L232,58909,59067,158,8,
.L239,59067,59084,17,5,
.L238,59084,59352,268,9,
fill_buffer,59352,59899,547,10,
.LC15,59899,59948,49,6,
.LC16,59948,59995,47,6,
.LC17,59995,60164,169,8,
lame_encode_buffer,60164,60446,282,9,
.LPIC94,60446,60781,335,9,
.LPIC95,60781,60835,54,6,
.LPIC96,60835,60874,39,6,
.LPIC97,60874,60918,44,6,
.L243,60918,61005,87,7,
.LPIC98,61005,61110,105,7,
.LPIC99,61110,61177,67,7,
.LPIC100,61177,61256,79,7,
.LPIC101,61256,61337,81,7,
.LPIC102,61337,61399,62,6,
.L244,61399,61486,87,7,
.LPIC103,61486,61547,61,6,
.L245,61547,61717,170,8,
.L248,61717,62258,541,10,
.L247,62258,62334,76,7,
.L262,62334,62446,112,7,
.L253,62446,62591,145,8,
.LPIC104,62591,62728,137,8,
.LPIC105,62728,63088,360,9,
.L251,63088,63113,25,5,
.LPIC106,63113,63250,137,8,
.LPIC107,63250,63558,308,9,
.L252,63558,63850,292,9,
.L250,63850,64028,178,8,
.LPIC108,64028,64117,89,7,
.LPIC109,64117,64171,54,6,
.LPIC110,64171,64251,80,7,
.LPIC111,64251,64306,55,6,
.LPIC112,64306,64346,40,6,
.LPIC113,64346,64391,45,6,
.L254,64391,64416,25,5,
.LPIC114,64416,64505,89,7,
.LPIC115,64505,64559,54,6,
.LPIC116,64559,64655,96,7,
.LPIC117,64655,64791,136,8,
.LPIC118,64791,64863,72,7,
.LPIC119,64863,65015,152,8,
.L256,65015,65185,170,8,
.LPIC120,65185,65296,111,7,
.LPIC121,65296,65351,55,6,
.LPIC122,65351,65462,111,7,
.LPIC123,65462,65539,77,7,
.L261,65539,65587,48,6,
.L260,65587,65687,100,7,
.LPIC124,65687,65834,147,8,
.LPIC125,65834,66063,229,8,
.L259,66063,66089,26,5,
.LPIC126,66089,66222,133,8,
.L258,66222,66310,88,7,
.L249,66310,66418,108,7,
.LPIC127,66418,66475,57,6,
.LPIC128,66475,66516,41,6,
.LPIC129,66516,66561,45,6,
.L263,66561,66587,26,5,
.L264,66587,66723,136,8,
.L265,66723,66791,68,7,
.L267,66791,66808,17,5,
.L266,66808,68188,1380,11,
lame_encode_buffer_interleaved,68188,68587,399,9,
.LPIC130,68587,68642,55,6,
.LPIC131,68642,68681,39,6,
.LPIC132,68681,68726,45,6,
.L269,68726,68975,249,8,
.L270,68975,69374,399,9,
.L273,69374,69403,29,5,
.L274,69403,69451,48,6,
.L276,69451,69902,451,9,
.L275,69902,70250,348,9,
.L272,70250,70337,87,7,
.LPIC133,70337,70443,106,7,
.LPIC134,70443,70511,68,7,
.LPIC135,70511,70590,79,7,
.LPIC136,70590,70671,81,7,
.LPIC137,70671,70733,62,6,
.L277,70733,70820,87,7,
.LPIC138,70820,70881,61,6,
.L278,70881,71051,170,8,
.L281,71051,71646,595,10,
.L280,71646,71722,76,7,
.L291,71722,71879,157,8,
.L284,71879,71986,107,7,
.LPIC139,71986,72091,105,7,
.LPIC140,72091,72253,162,8,
.LPIC141,72253,72358,105,7,
.LPIC142,72358,72489,131,8,
.L283,72489,72747,258,9,
.LPIC143,72747,72836,89,7,
.LPIC144,72836,72890,54,6,
.LPIC145,72890,72970,80,7,
.LPIC146,72970,73026,56,6,
.LPIC147,73026,73066,40,6,
.LPIC148,73066,73111,45,6,
.L285,73111,73136,25,5,
.LPIC149,73136,73225,89,7,
.LPIC150,73225,73279,54,6,
.LPIC151,73279,73375,96,7,
.LPIC152,73375,73506,131,8,
.LPIC153,73506,73577,71,7,
.LPIC154,73577,73729,152,8,
.L286,73729,73891,162,8,
.LPIC155,73891,74002,111,7,
.LPIC156,74002,74057,55,6,
.LPIC157,74057,74168,111,7,
.LPIC158,74168,74245,77,7,
.L290,74245,74293,48,6,
.L289,74293,74393,100,7,
.LPIC159,74393,74540,147,8,
.LPIC160,74540,74769,229,8,
.L288,74769,74795,26,5,
.LPIC161,74795,74928,133,8,
.L287,74928,75016,88,7,
.L282,75016,75124,108,7,
.LPIC162,75124,75181,57,6,
.LPIC163,75181,75222,41,6,
.LPIC164,75222,75267,45,6,
.L292,75267,75293,26,5,
.L271,75293,75369,76,7,
.L294,75369,75386,17,5,
.L293,75386,76686,1300,11,
lame_encode,76686,76913,227,8,
.LPIC165,76913,77263,350,9,
.LPIC166,77263,77418,155,8,
.L298,77418,77435,17,5,
.L297,77435,77669,234,8,
lame_init,77669,77872,203,8,
.LPIC167,77872,80769,2897,12,
.L301,80769,80786,17,5,
.L300,80786,81013,227,8,
lame_encode_finish,81013,81337,324,9,
.LPIC168,81337,81619,282,9,
.L307,81619,81924,305,9,
.L304,81924,82270,346,9,
.LPIC169,82270,82351,81,7,
.L305,82351,82700,349,9,
.LPIC170,82700,82840,140,8,
.LPIC171,82840,82876,36,6,
.L303,82876,82901,25,5,
.LPIC172,82901,83761,860,10,
.L308,83761,84094,333,9,
.L309,84094,84223,129,8,
.LPIC173,84223,84398,175,8,
.LPIC174,84398,84479,81,7,
.L310,84479,84666,187,8,
.LPIC175,84666,84774,108,7,
.L311,84774,84941,167,8,
.L312,84941,85014,73,7,
.L314,85014,85031,17,5,
.L313,85031,85511,480,9,
lame_mp3_tags,85511,85693,182,8,
.LPIC176,85693,86111,418,9,
