num,startBy,endBy,next,start,end,size,log_2,
67,bl->getint(PLT),bl->malloc(PLT),end,255,263,128,7,
695,bl->malloc(PLT),bl->setup_brightness_lut(PLT),end,11245,11254,144,8,
69,bl->fread(PLT),bne->.L24,72,278,281,48,6,
70,bne->.L24,.LPIC20,71,281,286,80,7,
71,.LPIC20,bl->exit(PLT),end,286,291,80,7,
72,.L24,bl->fclose(PLT),end,291,293,32,5,
92,bl->fclose(PLT),.L32,end,373,378,80,7,
74,beq->.L25,.L25,75,300,301,16,4,
75,.L25,.L27,end,301,304,48,6,
76,put_image,.LPIC22,77,304,312,128,7,
77,.LPIC22,.LPIC21,78,312,314,32,5,
78,.LPIC21,bl->fopen(PLT),end,314,318,64,6,
80,bne->.L29,.LPIC23,81,322,327,80,7,
81,.LPIC23,bl->exit(PLT),end,327,332,80,7,
82,.L29,.LPIC24,83,332,336,64,6,
83,.LPIC24,bl->fwrite(PLT),end,336,338,32,5,
627,bl->fwrite(PLT),bl->exit(PLT),end,10677,10679,32,5,
85,.LPIC25,.LPIC26,86,341,348,112,7,
86,.LPIC26,bl->fwrite(PLT),end,348,350,32,5,
89,beq->.L30,.LPIC27,90,361,366,80,7,
90,.LPIC27,bl->exit(PLT),end,366,371,80,7,
91,.L30,bl->fclose(PLT),end,371,373,32,5,
93,int_to_uchar,b->.L34,99,378,393,240,8,
94,.L37,bge->.L35,96,393,401,128,7,
95,bge->.L35,.L35,96,401,407,96,7,
96,.L35,ble->.L36,98,407,415,128,7,
97,ble->.L36,.L36,98,415,421,96,7,
98,.L36,.L34,99,421,424,48,6,
99,.L34,blt->.L37,94,424,428,64,6,
100,blt->.L37,b->.L38,103,428,435,112,7,
101,.L39,bl->__aeabi_idiv(PLT),end,435,448,208,8,
478,bl->__aeabi_idiv(PLT),.L269,479,7876,7878,32,5,
103,.L38,blt->.L39,101,458,462,64,6,
104,blt->.L39,setup_brightness_lut,105,462,467,80,7,
105,setup_brightness_lut,bl->malloc(PLT),end,467,475,128,7,
107,.L43,bne->.L42,109,487,500,208,8,
108,bne->.L42,.L42,109,500,506,96,7,
109,.L42,bl->exp(PLT),end,506,511,80,7,
183,bl->exp(PLT),.L86,184,1693,1707,224,8,
111,.L41,ble->.L43,107,528,531,48,6,
112,ble->.L43,.L45,end,531,535,64,6,
113,susan_principle,bl->memset(PLT),end,535,550,240,8,
686,bl->memset(PLT),beq->.L359,689,11136,11141,80,7,
115,.L51,b->.L48,119,553,556,48,6,
116,.L50,bgt->.L49,118,556,962,6496,13,
117,bgt->.L49,.L49,118,962,974,192,8,
118,.L49,.L48,119,974,977,48,6,
119,.L48,blt->.L50,116,977,982,80,7,
120,blt->.L50,.L47,121,982,985,48,6,
121,.L47,blt->.L51,115,985,990,80,7,
122,blt->.L51,susan_principle_small,123,990,995,80,7,
123,susan_principle_small,bl->memset(PLT),end,995,1010,240,8,
125,.L57,b->.L54,129,1015,1018,48,6,
126,.L56,bgt->.L55,128,1018,1132,1824,11,
127,bgt->.L55,.L55,128,1132,1144,192,8,
128,.L55,.L54,129,1144,1147,48,6,
129,.L54,blt->.L56,126,1147,1152,80,7,
130,blt->.L56,.L53,131,1152,1155,48,6,
131,.L53,blt->.L57,125,1155,1160,80,7,
132,blt->.L57,median,133,1160,1165,80,7,
133,median,.LPIC28,134,1165,1173,128,7,
134,.LPIC28,b->.L59,141,1173,1259,1376,11,
135,.L63,b->.L60,139,1259,1262,48,6,
136,.L62,ble->.L61,138,1262,1275,208,8,
137,ble->.L61,.L61,138,1275,1299,384,9,
138,.L61,.L60,139,1299,1302,48,6,
139,.L60,blt->.L62,136,1302,1307,80,7,
140,blt->.L62,.L59,141,1307,1310,48,6,
141,.L59,ble->.L63,135,1310,1313,48,6,
142,ble->.L63,beq->.L65,144,1313,1327,224,8,
143,beq->.L65,.L65,144,1327,1328,16,4,
144,.L65,.L67,end,1328,1331,48,6,
145,enlarge,b->.L69,148,1331,1341,160,8,
146,.L70,bl->memcpy(PLT),end,1341,1366,400,9,
152,bl->memcpy(PLT),.L71,153,1435,1438,48,6,
148,.L69,blt->.L70,146,1369,1374,80,7,
149,blt->.L70,b->.L71,153,1374,1377,48,6,
150,.L72,bl->memcpy(PLT),end,1377,1403,416,9,
153,.L71,blt->.L72,150,1438,1442,64,6,
154,blt->.L72,b->.L73,159,1442,1445,48,6,
155,.L76,b->.L74,157,1445,1448,48,6,
156,.L75,.L74,157,1448,1517,1104,11,
157,.L74,blt->.L75,156,1517,1525,128,7,
158,blt->.L75,.L73,159,1525,1528,48,6,
159,.L73,blt->.L76,155,1528,1532,64,6,
160,blt->.L76,.LC25,end,1532,1554,352,9,
161,susan_smoothing,bne->.L78,163,1554,1569,240,8,
162,bne->.L78,b->.L79,164,1569,1577,128,7,
163,.L78,.L79,164,1577,1579,32,5,
164,.L79,ble->.L80,172,1579,1586,112,7,
165,ble->.L80,bne->.L80,172,1586,1589,48,6,
166,bne->.L80,.LPIC29,167,1589,1593,64,6,
167,.LPIC29,.LPIC30,168,1593,1597,64,6,
168,.LPIC30,bl->puts(PLT),end,1597,1600,48,6,
170,.LPIC31,bl->puts(PLT),end,1601,1604,48,6,
172,.L80,bgt->.L82,174,1606,1612,96,7,
173,bgt->.L82,ble->.L83,176,1612,1618,96,7,
174,.L82,.LPIC32,175,1618,1622,64,6,
175,.LPIC32,bl->exit(PLT),end,1622,1626,64,6,
176,.L83,bl->malloc(PLT),end,1626,1637,176,8,
178,bl->enlarge(PLT),bne->.L84,205,1647,1650,48,6,
179,bne->.L84,bl->malloc(PLT),end,1650,1663,208,8,
181,.L88,b->.L86,184,1676,1680,64,6,
182,.L87,bl->exp(PLT),end,1680,1693,208,8,
184,.L86,ble->.L87,182,1707,1711,64,6,
185,ble->.L87,.L85,186,1711,1714,48,6,
186,.L85,ble->.L88,181,1714,1718,64,6,
187,ble->.L88,b->.L89,203,1718,1721,48,6,
188,.L98,b->.L90,201,1721,1724,48,6,
189,.L97,b->.L91,194,1724,1759,560,10,
190,.L94,b->.L92,192,1759,1763,64,6,
191,.L93,.L92,192,1763,1790,432,9,
192,.L92,ble->.L93,191,1790,1794,64,6,
193,ble->.L93,.L91,194,1794,1801,112,7,
194,.L91,ble->.L94,190,1801,1805,64,6,
195,ble->.L94,bne->.L95,198,1805,1812,112,7,
196,bne->.L95,bl->median(PLT),end,1812,1821,144,8,
209,bl->median(PLT),b->.L103,212,2082,2085,48,6,
198,.L95,bl->__aeabi_idiv(PLT),end,1824,1833,144,8,
200,.L96,.L90,201,1840,1843,48,6,
201,.L90,blt->.L97,189,1843,1849,96,7,
202,blt->.L97,.L89,203,1849,1852,48,6,
203,.L89,blt->.L98,188,1852,1858,96,7,
204,blt->.L98,b->.L107,216,1858,1859,16,4,
205,.L84,b->.L100,215,1859,1862,48,6,
206,.L105,b->.L101,213,1862,1865,48,6,
207,.L104,bne->.L102,210,1865,2073,3328,12,
208,bne->.L102,bl->median(PLT),end,2073,2082,144,8,
210,.L102,bl->__aeabi_idiv(PLT),end,2085,2093,128,7,
212,.L103,.L101,213,2100,2103,48,6,
213,.L101,blt->.L104,207,2103,2108,80,7,
214,blt->.L104,.L100,215,2108,2111,48,6,
215,.L100,blt->.L105,206,2111,2116,80,7,
216,.L107,edge_draw,217,2116,2120,64,6,
217,edge_draw,bne->.L111,223,2120,2130,160,8,
218,bne->.L111,b->.L112,222,2130,2135,80,7,
219,.L114,bhi->.L113,221,2135,2138,48,6,
220,bhi->.L113,.L113,221,2138,2195,912,10,
221,.L113,.L112,222,2195,2201,96,7,
222,.L112,blt->.L114,219,2201,2207,96,7,
223,.L111,b->.L115,227,2207,2212,80,7,
224,.L117,bhi->.L116,226,2212,2215,48,6,
225,bhi->.L116,.L116,226,2215,2223,128,7,
226,.L116,.L115,227,2223,2229,96,7,
227,.L115,blt->.L117,224,2229,2235,96,7,
228,blt->.L117,bx->lr,end,2235,2241,96,7,
229,susan_thin,.LPIC33,230,2241,2249,128,7,
230,.LPIC33,b->.L119,308,2249,2257,128,7,
231,.L154,b->.L120,306,2257,2260,48,6,
232,.L153,bhi->.L121,305,2260,2270,160,8,
233,bhi->.L121,bne->.L122,235,2270,2369,1584,11,
234,bne->.L122,.L122,235,2369,2379,160,8,
235,.L122,bne->.L123,270,2379,2382,48,6,
236,bne->.L123,bhi->.L123,270,2382,2392,160,8,
237,bhi->.L123,bhi->.L124,239,2392,2500,1728,11,
238,bhi->.L124,b->.L125,253,2500,2526,416,9,
239,.L124,bhi->.L126,241,2526,2537,176,8,
240,bhi->.L126,b->.L125,253,2537,2563,416,9,
241,.L126,bhi->.L127,243,2563,2574,176,8,
242,bhi->.L127,b->.L125,253,2574,2600,416,9,
243,.L127,bhi->.L128,245,2600,2610,160,8,
244,bhi->.L128,b->.L125,253,2610,2636,416,9,
245,.L128,bhi->.L129,247,2636,2646,160,8,
246,bhi->.L129,b->.L125,253,2646,2672,416,9,
247,.L129,bhi->.L130,249,2672,2683,176,8,
248,bhi->.L130,b->.L125,253,2683,2709,416,9,
249,.L130,bhi->.L131,251,2709,2720,176,8,
250,bhi->.L131,b->.L125,253,2720,2746,416,9,
251,.L131,bhi->.L125,253,2746,2757,176,8,
252,bhi->.L125,.L125,253,2757,2782,400,9,
253,.L125,b->.L132,260,2782,2787,80,7,
254,.L136,b->.L133,258,2787,2790,48,6,
255,.L135,bge->.L134,257,2790,2803,208,8,
256,bge->.L134,.L134,257,2803,2818,240,8,
257,.L134,.L133,258,2818,2821,48,6,
258,.L133,ble->.L135,255,2821,2824,48,6,
259,ble->.L135,.L132,260,2824,2827,48,6,
260,.L132,ble->.L136,254,2827,2830,48,6,
261,ble->.L136,ble->.L123,270,2830,2833,48,6,
262,ble->.L123,bhi->.L137,264,2833,2843,160,8,
263,bhi->.L137,b->.L138,265,2843,2859,256,8,
264,.L137,.L138,265,2859,2883,384,9,
265,.L138,bgt->.L123,270,2883,2889,96,7,
269,bgt->.L123,.L123,270,2907,2909,32,5,
267,bgt->.L139,.L139,268,2902,2904,32,5,
268,.L139,bgt->.L123,270,2904,2907,48,6,
270,.L123,bne->.L140,298,2909,2912,48,6,
291,bne->.L140,beq->.L140,298,3218,3227,144,8,
272,bne->.L141,beq->.L141,290,2981,2990,144,8,
273,beq->.L141,beq->.L142,277,2990,2993,48,6,
274,beq->.L142,beq->.L143,276,2993,2996,48,6,
275,beq->.L143,b->.L145,280,2996,3001,80,7,
276,.L143,b->.L145,280,3001,3006,80,7,
277,.L142,beq->.L146,279,3006,3009,48,6,
278,beq->.L146,b->.L145,280,3009,3014,80,7,
279,.L146,.L145,280,3014,3018,64,6,
280,.L145,ble->.L157,297,3018,3040,352,9,
281,ble->.L157,bne->.L149,285,3040,3043,48,6,
282,bne->.L149,bls->.L149,285,3043,3056,208,8,
284,bls->.L149,bhi->.L150,289,3069,3082,208,8,
285,.L149,bne->.L157,297,3082,3085,48,6,
286,bne->.L157,bls->.L157,297,3085,3098,208,8,
289,.L150,b->.L157,297,3126,3151,400,9,
290,.L141,bne->.L140,298,3151,3218,1072,11,
293,beq->.L140,bgt->.L151,295,3364,3383,304,9,
294,bgt->.L151,.L151,295,3383,3385,32,5,
295,.L151,bgt->.L140,298,3385,3388,48,6,
296,bgt->.L140,b->.L140,298,3388,3391,48,6,
297,.L157,.L140,298,3391,3392,16,4,
298,.L140,ble->.L121,305,3392,3395,48,6,
300,ble->.L121,bgt->.L121,305,3462,3563,1616,11,
304,bgt->.L121,.L121,305,3587,3589,32,5,
302,bgt->.L152,.L152,303,3582,3584,32,5,
303,.L152,bgt->.L121,305,3584,3587,48,6,
305,.L121,.L120,306,3589,3592,48,6,
306,.L120,blt->.L153,232,3592,3597,80,7,
307,blt->.L153,.L119,308,3597,3600,48,6,
308,.L119,blt->.L154,231,3600,3605,80,7,
309,blt->.L154,beq->.L155,311,3605,3613,128,7,
310,beq->.L155,.L155,311,3613,3614,16,4,
311,.L155,.L161,end,3614,3617,48,6,
312,susan_edges,bl->memset(PLT),end,3617,3632,240,8,
314,.L167,b->.L164,318,3635,3638,48,6,
315,.L166,bgt->.L165,317,3638,4044,6496,13,
316,bgt->.L165,.L165,317,4044,4056,192,8,
317,.L165,.L164,318,4056,4059,48,6,
318,.L164,blt->.L166,315,4059,4064,80,7,
319,blt->.L166,.L163,320,4064,4067,48,6,
320,.L163,blt->.L167,314,4067,4072,80,7,
321,blt->.L167,b->.L168,366,4072,4075,48,6,
322,.L197,b->.L169,364,4075,4078,48,6,
323,.L196,ble->.L170,363,4078,4089,176,8,
361,ble->.L170,blt->.L170,363,5603,5621,288,9,
325,ble->.L171,bl->sqrt(PLT),end,4118,4685,9072,14,
382,bl->sqrt(PLT),ble->.L254,399,5994,6007,208,8,
327,ble->.L204,bne->.L174,329,4698,4703,80,7,
328,bne->.L174,b->.L175,330,4703,4706,48,6,
329,.L174,.L175,330,4706,4712,96,7,
330,.L175,bpl->.L205,332,4712,4716,64,6,
331,bpl->.L205,b->.L178,333,4716,4722,96,7,
332,.L205,.L178,333,4722,4724,32,5,
333,.L178,bpl->.L206,335,4724,4729,80,7,
334,bpl->.L206,b->.L181,340,4729,4734,80,7,
335,.L206,ble->.L207,337,4734,4739,80,7,
336,ble->.L207,b->.L181,340,4739,4744,80,7,
337,.L207,ble->.L184,339,4744,4747,48,6,
338,ble->.L184,b->.L181,340,4747,4752,80,7,
339,.L184,.L181,340,4752,4756,64,6,
340,.L181,ble->.L187,347,4756,4772,256,8,
343,ble->.L187,blt->.L187,347,4806,4824,288,9,
344,blt->.L187,b->.L187,347,4824,4835,176,8,
345,.L204,b->.L187,347,4835,4838,48,6,
346,.L171,.L187,347,4838,4840,32,5,
347,.L187,bne->.L170,363,4840,4843,48,6,
348,bne->.L170,bne->.L188,350,4843,5512,10704,14,
349,bne->.L188,b->.L189,351,5512,5515,48,6,
350,.L188,.L189,351,5515,5521,96,7,
351,.L189,bpl->.L208,353,5521,5526,80,7,
352,bpl->.L208,b->.L192,358,5526,5531,80,7,
353,.L208,ble->.L209,355,5531,5536,80,7,
354,ble->.L209,b->.L192,358,5536,5541,80,7,
355,.L209,ble->.L195,357,5541,5544,48,6,
356,ble->.L195,b->.L192,358,5544,5549,80,7,
357,.L195,.L192,358,5549,5553,64,6,
358,.L192,ble->.L170,363,5553,5569,256,8,
362,blt->.L170,.L170,363,5621,5631,160,8,
363,.L170,.L169,364,5631,5634,48,6,
364,.L169,blt->.L196,323,5634,5639,80,7,
365,blt->.L196,.L168,366,5639,5642,48,6,
366,.L168,blt->.L197,322,5642,5647,80,7,
367,blt->.L197,susan_edges_small,368,5647,5652,80,7,
368,susan_edges_small,bl->memset(PLT),end,5652,5667,240,8,
370,.L217,b->.L214,374,5672,5675,48,6,
371,.L216,bgt->.L215,373,5675,5789,1824,11,
372,bgt->.L215,.L215,373,5789,5801,192,8,
373,.L215,.L214,374,5801,5804,48,6,
374,.L214,blt->.L216,371,5804,5809,80,7,
375,blt->.L216,.L213,376,5809,5812,48,6,
376,.L213,blt->.L217,370,5812,5817,80,7,
377,blt->.L217,b->.L218,418,5817,5820,48,6,
378,.L247,b->.L219,416,5820,5823,48,6,
379,.L246,ble->.L220,415,5823,5834,176,8,
413,ble->.L220,blt->.L220,415,6310,6326,256,8,
381,ble->.L221,bl->sqrt(PLT),end,5863,5994,2096,12,
383,ble->.L254,bne->.L224,385,6007,6012,80,7,
384,bne->.L224,b->.L225,386,6012,6015,48,6,
385,.L224,.L225,386,6015,6021,96,7,
386,.L225,bpl->.L255,388,6021,6025,64,6,
387,bpl->.L255,b->.L228,389,6025,6031,96,7,
388,.L255,.L228,389,6031,6033,32,5,
389,.L228,bpl->.L256,391,6033,6038,80,7,
390,bpl->.L256,b->.L231,396,6038,6043,80,7,
391,.L256,ble->.L257,393,6043,6048,80,7,
392,ble->.L257,b->.L231,396,6048,6053,80,7,
393,.L257,ble->.L234,395,6053,6056,48,6,
394,ble->.L234,b->.L231,396,6056,6061,80,7,
395,.L234,.L231,396,6061,6065,64,6,
396,.L231,ble->.L237,401,6065,6081,256,8,
397,ble->.L237,blt->.L237,401,6081,6097,256,8,
398,blt->.L237,b->.L237,401,6097,6108,176,8,
399,.L254,b->.L237,401,6108,6111,48,6,
400,.L221,.L237,401,6111,6113,32,5,
401,.L237,bne->.L220,415,6113,6116,48,6,
402,bne->.L220,bne->.L238,404,6116,6253,2192,12,
403,bne->.L238,b->.L239,405,6253,6256,48,6,
404,.L238,.L239,405,6256,6262,96,7,
405,.L239,bpl->.L258,407,6262,6267,80,7,
406,bpl->.L258,b->.L242,412,6267,6272,80,7,
407,.L258,ble->.L259,409,6272,6277,80,7,
408,ble->.L259,b->.L242,412,6277,6282,80,7,
409,.L259,ble->.L245,411,6282,6285,48,6,
410,ble->.L245,b->.L242,412,6285,6290,80,7,
411,.L245,.L242,412,6290,6294,64,6,
412,.L242,ble->.L220,415,6294,6310,256,8,
414,blt->.L220,.L220,415,6326,6336,160,8,
415,.L220,.L219,416,6336,6339,48,6,
416,.L219,blt->.L246,379,6339,6344,80,7,
417,blt->.L246,.L218,418,6344,6347,48,6,
418,.L218,blt->.L247,378,6347,6352,80,7,
419,blt->.L247,corner_draw,420,6352,6357,80,7,
420,corner_draw,b->.L263,424,6357,6367,160,8,
421,.L265,bne->.L264,423,6367,6370,48,6,
422,bne->.L264,b->.L263,424,6370,6444,1184,11,
423,.L264,.L263,424,6444,6469,400,9,
424,.L263,bne->.L265,421,6469,6477,128,7,
425,bne->.L265,bx->lr,end,6477,6483,96,7,
426,susan_corners,.LPIC34,427,6483,6491,128,7,
427,.LPIC34,bl->memset(PLT),end,6491,6500,144,8,
431,.L291,b->.L268,480,6519,6522,48,6,
432,.L290,bge->.L269,479,6522,6738,3456,12,
451,bge->.L269,ble->.L269,479,7000,7578,9248,14,
476,ble->.L269,bl->__aeabi_idiv(PLT),end,7836,7861,400,9,
453,bge->.L270,bl->__aeabi_idiv(PLT),end,7582,7598,256,8,
455,bpl->.L303,b->.L273,457,7604,7610,96,7,
456,.L303,.L273,457,7610,7615,80,7,
457,.L273,bpl->.L304,459,7615,7636,336,9,
458,bpl->.L304,b->.L276,460,7636,7643,112,7,
459,.L304,.L276,460,7643,7649,96,7,
460,.L276,bpl->.L305,462,7649,7672,368,9,
461,bpl->.L305,b->.L279,463,7672,7680,128,7,
462,.L305,.L279,463,7680,7687,112,7,
463,.L279,b->.L280,475,7687,7708,336,9,
464,.L270,bl->__aeabi_idiv(PLT),end,7708,7724,256,8,
466,bpl->.L306,b->.L283,468,7737,7743,96,7,
467,.L306,.L283,468,7743,7748,80,7,
468,.L283,bpl->.L307,470,7748,7770,352,9,
469,bpl->.L307,b->.L286,471,7770,7777,112,7,
470,.L307,.L286,471,7777,7783,96,7,
471,.L286,bpl->.L308,473,7783,7808,400,9,
472,bpl->.L308,b->.L289,474,7808,7816,128,7,
473,.L308,.L289,474,7816,7823,112,7,
474,.L289,.L280,475,7823,7833,160,8,
475,.L280,ble->.L269,479,7833,7836,48,6,
479,.L269,.L268,480,7878,7881,48,6,
480,.L268,blt->.L290,432,7881,7886,80,7,
481,blt->.L290,.L267,482,7886,7889,48,6,
482,.L267,blt->.L291,431,7889,7894,80,7,
483,blt->.L291,b->.L292,541,7894,7899,80,7,
484,.L296,b->.L293,539,7899,7902,48,6,
485,.L295,ble->.L294,538,7902,7915,208,8,
510,ble->.L294,blt->.L294,538,8257,8270,208,8,
534,blt->.L294,bne->.L294,538,8596,8669,1168,11,
535,bne->.L294,.LPIC35,536,8669,8675,96,7,
536,.LPIC35,bl->fwrite(PLT),end,8675,8677,32,5,
538,.L294,.L293,539,8679,8682,48,6,
539,.L293,blt->.L295,485,8682,8687,80,7,
540,blt->.L295,.L292,541,8687,8690,48,6,
541,.L292,blt->.L296,484,8690,8695,80,7,
542,blt->.L296,bl->free(PLT),end,8695,8704,144,8,
544,bl->free(PLT),.L312,end,8706,8711,80,7,
545,susan_corners_quick,.LPIC36,546,8711,8719,128,7,
546,.LPIC36,bl->memset(PLT),end,8719,8728,144,8,
548,.L318,b->.L315,570,8731,8734,48,6,
549,.L317,bge->.L316,569,8734,8950,3456,12,
568,bge->.L316,.L316,569,9212,9224,192,8,
569,.L316,.L315,570,9224,9227,48,6,
570,.L315,blt->.L317,549,9227,9232,80,7,
571,blt->.L317,.L314,572,9232,9235,48,6,
572,.L314,blt->.L318,548,9235,9240,80,7,
573,blt->.L318,b->.L319,631,9240,9245,80,7,
574,.L323,b->.L320,629,9245,9248,48,6,
575,.L322,ble->.L321,628,9248,9261,208,8,
600,ble->.L321,blt->.L321,628,9603,9616,208,8,
624,blt->.L321,bne->.L321,628,9942,10669,11632,14,
625,bne->.L321,.LPIC37,626,10669,10675,96,7,
626,.LPIC37,bl->fwrite(PLT),end,10675,10677,32,5,
628,.L321,.L320,629,10679,10682,48,6,
629,.L320,blt->.L322,575,10682,10687,80,7,
630,blt->.L322,.L319,631,10687,10690,48,6,
631,.L319,blt->.L323,574,10690,10695,80,7,
632,blt->.L323,.L327,end,10695,10707,192,8,
633,main,.LPIC38,634,10707,10718,176,8,
634,.LPIC38,bgt->.L329,636,10718,10773,880,10,
635,bgt->.L329,bl->usage(PLT),end,10773,10774,16,4,
636,.L329,bl->get_image(PLT),end,10774,10786,192,8,
637,bl->get_image(PLT),b->.L330,665,10786,10787,16,4,
638,.L349,bne->.L331,663,10787,10804,272,9,
639,bne->.L331,bhi->.L348,664,10804,10817,208,8,
640,bhi->.L348,bx->r2,end,10817,10821,64,6,
641,.L342,b->.L348,664,10821,10826,80,7,
642,.L338,b->.L348,664,10826,10831,80,7,
643,.L336,b->.L348,664,10831,10836,80,7,
644,.L340,b->.L348,664,10836,10841,80,7,
645,.L339,b->.L348,664,10841,10846,80,7,
646,.L335,b->.L348,664,10846,10851,80,7,
647,.L333,b->.L348,664,10851,10856,80,7,
648,.L341,b->.L348,664,10856,10861,80,7,
649,.L337,blt->.L344,653,10861,10876,240,8,
650,blt->.L344,.LPIC39,651,10876,10877,16,4,
651,.LPIC39,bl->puts(PLT),end,10877,10880,48,6,
653,.L344,bl->atof(PLT),end,10882,10893,176,8,
654,bl->atof(PLT),bmi->.L368,656,10893,10904,176,8,
655,bmi->.L368,b->.L348,664,10904,10905,16,4,
656,.L368,b->.L348,664,10905,10910,80,7,
657,.L343,blt->.L347,661,10910,10925,240,8,
658,blt->.L347,.LPIC40,659,10925,10926,16,4,
659,.LPIC40,bl->puts(PLT),end,10926,10929,48,6,
661,.L347,bl->atoi(PLT),end,10931,10944,208,8,
662,bl->atoi(PLT),b->.L348,664,10944,10947,48,6,
663,.L331,bl->usage(PLT),end,10947,10948,16,4,
664,.L348,.L330,665,10948,10955,112,7,
665,.L330,blt->.L349,638,10955,10963,128,7,
666,blt->.L349,bne->.L350,669,10963,10968,80,7,
668,bne->.L350,.L350,669,10973,10977,64,6,
669,.L350,beq->.L352,675,10977,10982,80,7,
670,beq->.L352,beq->.L353,694,10982,10984,32,5,
671,beq->.L353,bne->.L351,706,10984,10986,32,5,
672,bne->.L351,bl->setup_brightness_lut(PLT),end,10986,10993,112,7,
696,bl->setup_brightness_lut(PLT),beq->.L362,700,11254,11259,80,7,
674,bl->susan_smoothing(PLT),b->.L351,706,11016,11017,16,4,
675,.L352,bl->malloc(PLT),end,11017,11029,192,8,
678,beq->.L355,beq->.L356,681,11043,11048,80,7,
679,beq->.L356,bl->susan_principle_small(PLT),end,11048,11071,368,9,
680,bl->susan_principle_small(PLT),b->.L357,682,11071,11072,16,4,
681,.L356,bl->susan_principle(PLT),end,11072,11095,368,9,
698,bl->susan_principle(PLT),bl->int_to_uchar(PLT),end,11282,11296,224,8,
682,.L357,bl->int_to_uchar(PLT),end,11095,11109,224,8,
699,bl->int_to_uchar(PLT),b->.L369,705,11296,11297,16,4,
684,.L355,bl->malloc(PLT),end,11110,11121,176,8,
687,beq->.L359,bl->susan_edges_small(PLT),end,11141,11168,432,9,
688,bl->susan_edges_small(PLT),b->.L360,690,11168,11169,16,4,
689,.L359,bl->susan_edges(PLT),end,11169,11196,432,9,
690,.L360,beq->.L361,692,11196,11201,80,7,
691,beq->.L361,bl->susan_thin(PLT),end,11201,11214,208,8,
692,.L361,bl->edge_draw(PLT),end,11214,11232,288,9,
693,bl->edge_draw(PLT),b->.L351,706,11232,11233,16,4,
694,.L353,bl->malloc(PLT),end,11233,11245,192,8,
697,beq->.L362,bl->susan_principle(PLT),end,11259,11282,368,9,
700,.L362,beq->.L364,703,11297,11302,80,7,
701,beq->.L364,bl->susan_corners_quick(PLT),end,11302,11328,416,9,
702,bl->susan_corners_quick(PLT),b->.L365,704,11328,11329,16,4,
703,.L364,bl->susan_corners(PLT),end,11329,11355,416,9,
704,.L365,bl->corner_draw(PLT),end,11355,11367,192,8,
705,.L369,.L351,706,11367,11368,16,4,
706,.L351,bl->put_image(PLT),end,11368,11383,240,8,
707,bl->put_image(PLT),beq->.L367,709,11383,11393,160,8,
